date;IMOEX
05.01.2015;1435,66
06.01.2015;1480,73
08.01.2015;1547,39
09.01.2015;1515,37
12.01.2015;1513,22
13.01.2015;1533,09
14.01.2015;1554,46
15.01.2015;1563,21
16.01.2015;1591,43
19.01.2015;1576,4
20.01.2015;1570,97
21.01.2015;1618,17
22.01.2015;1666,56
23.01.2015;1671,8
26.01.2015;1642,37
27.01.2015;1673,92
28.01.2015;1647,71
29.01.2015;1639,65
30.01.2015;1647,69
02.02.2015;1625,31
03.02.2015;1654,36
04.02.2015;1656,02
05.02.2015;1696,06
06.02.2015;1755,45
09.02.2015;1748,55
10.02.2015;1742,35
11.02.2015;1763,6
12.02.2015;1802,8
13.02.2015;1838,18
16.02.2015;1800,59
17.02.2015;1793,82
18.02.2015;1809,67
19.02.2015;1797,87
20.02.2015;1792,7
24.02.2015;1772,16
25.02.2015;1746,23
26.02.2015;1760,66
27.02.2015;1758,97
02.03.2015;1783,34
03.03.2015;1807,7
04.03.2015;1759,35
05.03.2015;1760,55
06.03.2015;1728,55
10.03.2015;1665,38
11.03.2015;1671,47
12.03.2015;1664,7
13.03.2015;1627,88
16.03.2015;1609,85
17.03.2015;1611,69
18.03.2015;1632,12
19.03.2015;1607,97
20.03.2015;1628,64
23.03.2015;1602,85
24.03.2015;1618,62
25.03.2015;1615,5
26.03.2015;1581,84
27.03.2015;1571,55
30.03.2015;1612,84
31.03.2015;1626,18
01.04.2015;1661,9
02.04.2015;1679,24
03.04.2015;1681,47
06.04.2015;1700,64
07.04.2015;1695,64
08.04.2015;1683,63
09.04.2015;1667,6
10.04.2015;1657,02
13.04.2015;1678,19
14.04.2015;1647,39
15.04.2015;1677,7
16.04.2015;1686,79
17.04.2015;1656,59
20.04.2015;1683,24
21.04.2015;1710,24
22.04.2015;1677,56
23.04.2015;1662,64
24.04.2015;1682,7
27.04.2015;1677,22
28.04.2015;1677,89
29.04.2015;1670,99
30.04.2015;1688,34
05.05.2015;1721,8
06.05.2015;1714,31
07.05.2015;1686,98
08.05.2015;1708,52
12.05.2015;1704,62
13.05.2015;1682,26
14.05.2015;1677,57
15.05.2015;1691,46
18.05.2015;1678,55
19.05.2015;1659,36
20.05.2015;1636,86
21.05.2015;1659,33
22.05.2015;1665,66
25.05.2015;1655,4
26.05.2015;1651,66
27.05.2015;1660,98
28.05.2015;1657,62
29.05.2015;1609,19
01.06.2015;1616,94
02.06.2015;1643,41
03.06.2015;1628,87
04.06.2015;1638,07
05.06.2015;1652,07
08.06.2015;1646,89
09.06.2015;1664,01
10.06.2015;1653,09
11.06.2015;1652,24
15.06.2015;1657,29
16.06.2015;1668,82
17.06.2015;1664,66
18.06.2015;1660,14
19.06.2015;1663,03
22.06.2015;1671,8
23.06.2015;1657,23
24.06.2015;1651,85
25.06.2015;1631,99
26.06.2015;1644,45
29.06.2015;1634,93
30.06.2015;1654,55
01.07.2015;1639,7
02.07.2015;1641,05
03.07.2015;1631,65
06.07.2015;1621,27
