date; SBER ; SBERP ; GAZP ; LKOH ; ROSN ; NVTK ; TATN ; TATNP ; SNGS ; SNGSP ; GMKN ; CHMF ; NLMK ; MAGN ; MTSS ; AFLT ; VTBR ; MOEX ; PLZL ; ALRS ; MGNT ; PHOR ; AKRN ; FEES ; HYDR ; IRAO ; BSPB ; TRNFP ;SIBN;LSRG
05.01.2015;56,37;38,59;133,95;2295;196,75;455,5;238;134,7; 24,24 ; 29,60 ;8590;522;66,285; 11,28 ;174,7; 33,21 ; 0,07 ;60,4;1000,5;60,38;9877;1784;1830;0,04713; 0,57 ;; 24,60 ;130100;142;473
06.01.2015;58,28;39,5;138,92;2345;200,3;476,7;228,75;135,3; 25,02 ; 30,20 ;9101;556,9;66,7; 11,55 ;179,9; 33,07 ; 0,07 ;61,9;1047;61,28;10400;1855;1870;0,0485; 0,57 ;; 25,60 ;142990;144,6;473
08.01.2015;65,7;43,75;146,46;2572;214,95;483;245;136; 26,27 ; 31,60 ;9550;542,7;67,41; 12,35 ;190,05; 35,17 ; 0,07 ;61,9;1060;60,2;10627;1776;1906;0,0503; 0,58 ;; 26,50 ;130000;148,1;480
09.01.2015;63,1;42,9;141,7;2461;206,6;475,1;234,05;134,5; 25,65 ; 32,01 ;9740;548,55;67,9; 12,10 ;195; 34,00 ; 0,07 ;60,14;1050;61,91;10542;1798;1856;0,04897; 0,55 ;; 26,15 ;120820;146,6;489
12.01.2015;62,9;42,41;140,22;2477;204;470,7;228,25;133,3; 25,45 ; 31,36 ;9839;558,45;70,12; 11,89 ;193; 34,45 ; 0,06 ;59,59;1020;63;10689;1795;1867;0,04955; 0,55 ;; 25,70 ;128000;143,1;484
13.01.2015;60,31;40,82;142,64;2522;204,9;489,4;234,7;133,8; 25,60 ; 32,30 ;10025;583;72,505; 12,38 ;204,5; 35,00 ; 0,06 ;58,51;1035,5;66,4;11180;1843;1900;0,05003; 0,54 ;; 25,55 ;130990;143,8;468
14.01.2015;60,05;41,5;146,3;2588;209,5;497,9;244,55;132,2; 25,84 ; 32,70 ;9600;595;72,35; 12,55 ;210,2; 36,55 ; 0,06 ;61,22;1024;71,7;11450;1867;1925;0,05226; 0,55 ;; 25,40 ;131910;142,9;454
15.01.2015;61,8;41,7;147;2618,9;219,9;483,2;251,3;137,5; 25,99 ; 32,82 ;9290;577;75,18; 12,28 ;216,5; 36,65 ; 0,06 ;61,8;1045;68,6;11304;1890;1998;0,051; 0,55 ;; 24,90 ;130000;142,6;467
16.01.2015;61,99;42,03;149,6;2736;226;490;260;137,3; 26,15 ; 34,25 ;9561;587,9;75,7; 12,15 ;215,8; 36,05 ; 0,07 ;62,5;1076;69,55;11350;1955;2061;0,05195; 0,55 ;; 24,85 ;130980;144;463
19.01.2015;61,8;42,09;148,11;2640;225,3;487;261;136,7; 26,30 ; 34,90 ;9417;589;75,43; 12,24 ;215; 36,34 ; 0,06 ;63,45;1090;69,7;11235;2008;2125;0,05097; 0,54 ;; 24,75 ;129790;146,7;447
20.01.2015;60,8;42,24;145,75;2628,7;227;475;257;137,4; 26,60 ; 36,40 ;9470;586,9;76,85; 12,37 ;214,15; 37,20 ; 0,06 ;62;1119;71;11395;2054;2130;0,05195; 0,54 ; 0,76 ; 24,60 ;130900;150,1;447
21.01.2015;62,8;43,29;148,8;2752;234,6;490,4;275;140,9; 28,38 ; 36,80 ;9675;592;76,47; 12,41 ;222,95; 38,10 ; 0,06 ;64,5;1120;76,5;11855;2080;2159;0,05238; 0,56 ; 0,78 ; 25,80 ;130900;154,3;443
22.01.2015;64,35;44,8;151,5;2820;241,8;523,7;287,3;150,9; 29,95 ; 38,10 ;10386;599,5;79,895; 12,80 ;227; 39,55 ; 0,06 ;68;1119;77,5;12070;2111;2250;0,05263; 0,57 ; 0,79 ; 26,45 ;132500;155,5;460
23.01.2015;64,45;45,94;152,83;2849;243,9;512;297,95;151,8; 29,48 ; 39,43 ;10400;587;79,505; 12,90 ;228; 40,15 ; 0,06 ;69,11;1070;76;11750;2114;2258;0,052; 0,56 ; 0,79 ; 26,25 ;131970;153,8;485
26.01.2015;60,49;42,88;148;2864,9;237,25;504;285,65;150; 28,56 ; 38,93 ;10755;616,15;82,845; 12,81 ;214,25; 38,26 ; 0,06 ;66,6;1051;73,45;11540;2139;2231;0,0505; 0,54 ; 0,74 ; 25,05 ;126630;151,3;476
27.01.2015;61,2;43,8;150,9;2925,1;239;505,5;297,9;148; 30,34 ; 41,42 ;11179;632,5;86,695; 13,30 ;215,55; 38,00 ; 0,06 ;67,84;1040;77,9;11270;2177;2280;0,05035; 0,55 ; 0,73 ; 25,50 ;133500;152,5;473
28.01.2015;60,63;43,15;147,7;2865,2;231,5;488;289;154,2; 29,10 ; 40,35 ;11534;630,85;86,11; 13,05 ;214; 38,11 ; 0,07 ;68;1055;75,3;10200;2245;2315;0,05072; 0,54 ; 0,73 ; 26,00 ;135300;151,7;486
29.01.2015;60,5;43,39;145;2845,2;226,55;480,4;280,1;155,2; 29,13 ; 40,75 ;11450;634,2;89,155; 13,10 ;219,55; 37,30 ; 0,07 ;69,3;1055;76,3;10550;2269;2325;0,04941; 0,51 ; 0,71 ; 25,50 ;132740;152,9;494
30.01.2015;61,5;43,84;143,82;2789,9;229,35;460;270,15;157,7; 31,10 ; 41,60 ;11610;642,35;91,995; 13,13 ;217,85; 38,25 ; 0,07 ;70;1049,5;78,49;10590;2291;2378;0,04982; 0,53 ; 0,72 ; 26,10 ;141900;156,9;471
02.02.2015;61,4;42,7;138,18;2750,1;230,55;472;285;161; 31,70 ; 41,90 ;11280;645,9;88,5; 13,16 ;227,3; 37,34 ; 0,07 ;69,66;1046,5;76,1;10190;2260;2341;0,04913; 0,51 ; 0,72 ; 25,50 ;137650;155,9;468
03.02.2015;62;43,23;140,35;2851,5;238,35;482,3;294;163,4; 32,99 ; 42,85 ;10990;632;88,5; 13,72 ;233,05; 37,55 ; 0,07 ;73,5;1054;82;10400;2226;2288;0,04889; 0,52 ; 0,72 ; 25,25 ;139400;156,9;467
04.02.2015;61,04;42,51;142,6;2910;239;478,5;301;164,9; 32,20 ; 41,90 ;10750;656;89,305; 13,69 ;232; 37,09 ; 0,07 ;73,3;1052;78,2;10340;2238;2281;0,04953; 0,52 ; 0,72 ; 25,15 ;133810;159,2;477
05.02.2015;62,41;43,5;147,6;2996;251;500,2;319,35;171,5; 34,10 ; 42,61 ;11100;663,4;88,495; 13,64 ;235,5; 37,75 ; 0,07 ;72;1061;77,42;10235;2226;2278;0,05004; 0,52 ; 0,74 ; 25,30 ;136110;158,5;478
06.02.2015;64,31;44,7;151,6;3120,1;261;522,2;335,5;181,8; 35,50 ; 43,67 ;11394;701,2;91,045; 13,77 ;240,8; 38,00 ; 0,07 ;74,8;1060;79;11075;2247;2306;0,0524; 0,53 ; 0,75 ; 25,20 ;141950;160,3;481
09.02.2015;65,57;45,6;149,3;3016;257;527,5;324;184; 35,85 ; 43,70 ;11352;696;89,83; 14,13 ;240,6; 37,60 ; 0,07 ;74,2;1069;78,45;11440;2242;2320;0,05404; 0,53 ; 0,79 ; 24,95 ;139000;166;520
10.02.2015;65;45,28;149,31;3000;257,05;520;320,55;183,8; 36,60 ; 44,40 ;11345;688;89,15; 14,22 ;230,05; 37,83 ; 0,07 ;71,26;1063;76,16;11490;2240;2328;0,05389; 0,53 ; 0,81 ; 25,15 ;136000;171;549
11.02.2015;65,12;45,93;150,55;3069,1;265,35;530,9;320,5;183,7; 36,80 ; 43,82 ;11697;695;88,6; 14,50 ;237,95; 38,00 ; 0,07 ;70,5;1136;77,15;11500;2319;2464;0,05471; 0,53 ; 0,88 ; 25,50 ;140020;176;561
12.02.2015;67,21;48,68;157,7;3120;274,05;539,5;340;185,9; 36,50 ; 42,31 ;12037;713;88,79; 14,12 ;250,95; 39,39 ; 0,07 ;72,5;1100,5;73,6;11855;2298;2453;0,05795; 0,54 ; 0,90 ; 26,45 ;138500;189;571
13.02.2015;70,6;52,77;162,4;3135;290,2;543,8;353;185; 36,60 ; 41,51 ;12106;711,5;89,2; 14,01 ;257,35; 40,40 ; 0,07 ;72,5;1112;73,35;12250;2209;2477;0,0677; 0,61 ; 0,90 ; 28,75 ;139990;190,5;568
16.02.2015;70;52,7;160,19;3020;279,7;524,6;335;176,8; 35,54 ; 41,30 ;11900;685;85,5; 13,90 ;252,3; 40,41 ; 0,07 ;74,88;1150;72,5;11920;2177;2451;0,06853; 0,61 ; 0,89 ; 29,55 ;143010;181,5;580
17.02.2015;72,45;53;159,2;3010;275,95;522,7;338,6;173,4; 35,19 ; 41,46 ;11375;698,6;85,555; 14,58 ;252; 40,15 ; 0,07 ;75,45;1130,5;72,4;11820;2218;2480;0,0643; 0,57 ; 0,89 ; 30,25 ;145400;181,1;569
18.02.2015;76,4;55,5;163;3000;281,45;527,5;335,15;177,5; 35,10 ; 40,40 ;11140;702;85,65; 14,53 ;250,35; 40,98 ; 0,07 ;78,4;1118,5;73,48;11766;2190;2564;0,06813; 0,60 ; 0,90 ; 31,15 ;145820;180,8;579
19.02.2015;73,78;53,19;160,9;2994,8;275,75;529,2;343,3;179,4; 34,85 ; 40,16 ;11355;706;85,885; 14,40 ;257; 39,93 ; 0,07 ;76,75;1110;75;11800;2123;2450;0,0652; 0,59 ; 0,86 ; 31,50 ;144850;175,5;571
20.02.2015;74,75;54,09;158;2990;274;518,1;345,8;178; 34,34 ; 40,35 ;11330;704,9;85,9; 14,52 ;252,5; 40,00 ; 0,07 ;75,69;1096;75,7;11796;2128;2530;0,068; 0,63 ; 0,88 ; 32,40 ;146400;172,4;572
24.02.2015;73,7;52,67;154,99;3001;268,65;518,3;340;181,3; 34,20 ; 39,46 ;11348;698,1;84,58; 14,47 ;250,3; 39,60 ; 0,06 ;76,5;1100;73,87;11687;2127;2496;0,0665; 0,60 ; 0,86 ; 32,00 ;143300;166,6;582
25.02.2015;74,2;52,36;150,7;2933,4;263,45;506,7;326,6;174; 33,58 ; 38,65 ;11061;689;83,03; 14,23 ;248,6; 38,99 ; 0,07 ;76,6;1105;73;11510;2070;2485;0,07165; 0,60 ; 0,86 ; 31,30 ;138290;166,5;589
26.02.2015;75,95;54,45;151,65;2935;263,85;499,3;327,55;170,9; 34,72 ; 39,66 ;11093;684;81,695; 14,26 ;253,5; 39,50 ; 0,07 ;77,45;1111,5;70,12;11574;2090;2475;0,07621; 0,65 ; 0,92 ; 32,45 ;137000;168,4;592
27.02.2015;75,91;53,7;152,95;2981,2;265,85;503,7;316;168,6; 34,20 ; 38,69 ;11182;682;81,1; 14,60 ;249; 39,19 ; 0,07 ;76,9;1110;68,5;11305;2109;2435;0,07535; 0,64 ; 0,92 ; 33,25 ;138000;172,6;589
02.03.2015;76,2;54,1;155,5;3027,2;269,7;512,2;330,95;169,8; 36,50 ; 41,01 ;11269;707,6;82,7; 14,93 ;247,55; 39,50 ; 0,07 ;76,01;1130;68,95;11367;2141;2475;0,07452; 0,65 ; 0,93 ; 34,30 ;136630;171,9;584
03.03.2015;75,55;54,15;159;3009,5;277;522;333,55;176; 36,82 ; 42,33 ;11480;738,45;84,94; 15,90 ;257,25; 39,89 ; 0,07 ;74,88;1138;72,05;11650;2199;2481;0,0757; 0,64 ; 0,93 ; 35,60 ;140240;175,1;600
04.03.2015;72,31;52,91;154;2955;264,95;512,7;319;175,9; 35,90 ; 41,30 ;11140;730;81,75; 15,73 ;252; 38,55 ; 0,07 ;70,67;1134,5;73,95;11100;2190;2486;0,07777; 0,63 ; 0,96 ; 35,65 ;136970;172;590
05.03.2015;72,7;53,5;154,8;2915;269,6;512,4;313,4;171; 35,90 ; 42,45 ;11180;730,05;82,15; 15,90 ;247,5; 38,47 ; 0,07 ;70;1138,5;74,41;11360;2153;2580;0,07755; 0,63 ; 0,97 ; 34,70 ;135000;172,6;592
